(base) xiazeyu@d01:/mnt/data_x3/xiazeyu/stanford-cs336-main/assignment1-basics/cs
336_basics$ conda activate cs336
(cs336) xiazeyu@d01:/mnt/data_x3/xiazeyu/stanford-cs336-main/assignment1-basics/c
s336_basics$ cd /mnt/data_x3/xiazeyu/stanford-cs336-main/assignment1-basics/cs336
_basics
(cs336) xiazeyu@d01:/mnt/data_x3/xiazeyu/stanford-cs336-main/assignment1-basics/c
s336_basics$ python train_loop.py
模型参数数量: 22,696,448
训练数据加载完成:
  - 文件路径: ../artifacts/tinystories_train.bin
  - Token 总数: 540,803,381
  - 数据类型: uint16
  - 内存占用: 1031.50 MB (虚拟，实际按需加载)
total_steps: 10000

训练设备: cuda
总训练步数: 10000
评估间隔: 100 步
Step 1740/10000 | Train Loss: 2.2743
Step 1750/10000 | Train Loss: 2.3237
Step 1760/10000 | Train Loss: 2.3195
Step 1770/10000 | Train Loss: 2.2780
Step 1780/10000 | Train Loss: 2.3537
Step 1790/10000 | Train Loss: 2.2897
Step 1800/10000 | Train Loss: 2.2707 | Eval Train Loss: 2.2654
Step 1810/10000 | Train Loss: 2.2795
Step 1820/10000 | Train Loss: 2.2749
Step 1830/10000 | Train Loss: 2.2378
Step 1840/10000 | Train Loss: 2.3497
Step 1850/10000 | Train Loss: 2.2531
Step 1860/10000 | Train Loss: 2.2634
Step 1870/10000 | Train Loss: 2.2091
Step 1880/10000 | Train Loss: 2.2908
Step 1890/10000 | Train Loss: 2.2478
Step 1900/10000 | Train Loss: 2.2479 | Eval Train Loss: 2.2423
Step 1910/10000 | Train Loss: 2.2510
Step 1920/10000 | Train Loss: 2.2059
Step 1930/10000 | Train Loss: 2.1908
Step 1940/10000 | Train Loss: 2.2861
Step 1950/10000 | Train Loss: 2.2231
Step 1960/10000 | Train Loss: 2.1739
Step 1970/10000 | Train Loss: 2.2521
Step 1980/10000 | Train Loss: 2.2087
Step 1990/10000 | Train Loss: 2.2027
Step 2000/10000 | Train Loss: 2.1993 | Eval Train Loss: 2.2489
Step 2010/10000 | Train Loss: 2.1930
Step 2020/10000 | Train Loss: 2.2682
Step 2030/10000 | Train Loss: 2.1783
Step 2040/10000 | Train Loss: 2.2512
Step 2050/10000 | Train Loss: 2.1403
Step 2060/10000 | Train Loss: 2.2197
Step 2070/10000 | Train Loss: 2.2086
Step 2080/10000 | Train Loss: 2.1941
Step 2090/10000 | Train Loss: 2.1754
Step 2100/10000 | Train Loss: 2.1800 | Eval Train Loss: 2.2253
Step 2110/10000 | Train Loss: 2.2112
Step 2120/10000 | Train Loss: 2.2097
Step 2130/10000 | Train Loss: 2.1830
Step 2140/10000 | Train Loss: 2.1711
Step 2150/10000 | Train Loss: 2.1578
Step 2160/10000 | Train Loss: 2.2559
Step 2170/10000 | Train Loss: 2.1570
Step 2180/10000 | Train Loss: 2.2272
Step 2190/10000 | Train Loss: 2.1673
Step 2200/10000 | Train Loss: 2.2236 | Eval Train Loss: 2.1900
Step 2210/10000 | Train Loss: 2.1821
Step 2220/10000 | Train Loss: 2.1227
Step 2230/10000 | Train Loss: 2.1974
Step 2240/10000 | Train Loss: 2.1948
Step 2250/10000 | Train Loss: 2.1711
